[424.94547413 471.39270032],[606.20323126 664.24271082]
[201.54348678 234.66814407],[575.38387519 955.30533452]
[249.17153706 468.03686362],[591.5055787  165.96982049]
[196.33706378 531.54026684],[419.10048196 469.21610612]
[292.10507163 393.43970196],[286.88577782 153.8212016 ]
[161.376033   452.42665073],[238.42451092 307.11337892]
[318.96823102 556.1192176 ],[649.5899977  961.45436451]
[119.44514902 388.05247384],[742.64209305  86.26481883]
[323.68373912 657.46340731],[ 24.37249983 500.98764297]
[246.89249115 431.65533725],[583.06325579 370.51437857]
[359.56296985 469.04233628],[871.55704059 690.58485753]
[322.57522248 654.90716334],[994.81602179 723.15636706]
[313.00798225 507.3493237 ],[539.52171725 799.88597756]
[323.22713539 435.74246076],[308.93701865 218.04857133]
[232.19068247 442.60454406],[162.23361908 664.25309995]
[229.56246843 451.35048999],[349.52745038 326.36698879]
[231.4224676  461.94635832],[892.54860806 258.15452212]
[258.89776353 506.36716614],[ 64.42106257 932.80047552]
[279.63471081 640.27711195],[719.42286082 472.06955741]
[ 95.31374324 629.56185848],[794.83888389 223.29484511]
[226.27495543 376.76537934],[241.38075108 471.86056226]
[232.75802328 509.18383749],[266.00287058 117.99828468]
[356.7558457  393.83655517],[534.19303985 916.07948235]
[271.7348208  511.78195044],[696.65479651 218.27674169]
[ 81.5889107  381.42447346],[877.97612099 932.7143885 ]
[310.01020056 569.55672554],[204.64258538 360.85252178]
[358.77108601 553.38217156],[607.22266615 886.56911802]
[289.52120129 512.28675294],[942.34045542 642.51233398]
[370.91016421 415.69338989],[997.90350912 808.50555325]
[235.8106419  538.53541381],[683.7135734   68.33109779]
[ 92.25056914 631.09436402],[905.15410603  84.88316735]
[170.71349922 492.82505878],[962.21290177 311.36966702]
[465.66744258 417.05627477],[831.98945888  52.14630096]
[197.06279724 656.17036937],[356.45910135 403.88868288]
[141.98061748 456.79423813],[580.15749684 683.65116855]
[301.60840373 545.53928603],[614.66548683 144.99662848]
[309.3686203  537.05063343],[472.45979135 388.24597701]
[384.53780718 601.59421464],[883.32346284  25.34452445]
[309.52784541 431.71983836],[433.97531017 696.71306351]
[178.64400706 309.17104583],[615.56316659 406.57219394]
[318.73123486 317.69904165],[859.50089701 294.89224967]
