[424.94547413 221.39270032],[840.21086945 462.92971602]
[201.54348678 -15.33185593],[674.00237047 278.63424396]
[249.17153706 218.03686362],[ 19.88776647 882.80240793]
[196.33706378 281.54026684],[914.99021153  81.51881085]
[292.10507163 143.43970196],[ 33.39641726 525.2827318 ]
[161.376033   202.42665073],[964.88676255 813.62021269]
[318.96823102 306.1192176 ],[95.54541831 74.96076848]
[119.44514902 138.05247384],[751.84613579 676.37059626]
[323.68373912 407.46340731],[183.44165997 426.77078269]
[246.89249115 181.65533725],[669.56024721 778.88911931]
[359.56296985 219.04233628],[514.00654199 967.9115026 ]
[322.57522248 404.90716334],[685.28404264 249.47151717]
[313.00798225 257.3493237 ],[524.58489259 358.29920284]
[323.22713539 185.74246076],[654.01011519 150.92906312]
[232.19068247 192.60454406],[538.96159364 496.34153943]
[229.56246843 201.35048999],[186.24527128 837.92136492]
[231.4224676  211.94635832],[555.26237822 105.53251997]
[258.89776353 256.36716614],[150.31416879 608.68461741]
[279.63471081 390.27711195],[ 60.76112605 305.21442176]
[ 95.31374324 379.56185848],[ 97.03711453 440.83059002]
[226.27495543 126.76537934],[706.71931841 888.15577536]
[232.75802328 259.18383749],[931.28265892 462.46484537]
[356.7558457  143.83655517],[594.83227422 861.08026102]
[271.7348208  261.78195044],[724.62941727 968.19205454]
[ 81.5889107  131.42447346],[146.15961541 507.71558158]
[310.01020056 319.55672554],[229.31537647 651.79871555]
[358.77108601 303.38217156],[410.96639708  99.05206847]
[289.52120129 262.28675294],[493.14747076 342.58959437]
[370.91016421 165.69338989],[989.12340992 187.93270271]
[235.8106419  288.53541381],[980.45177976 186.79443225]
[ 92.25056914 381.09436402],[106.59616514 893.22859433]
[170.71349922 242.82505878],[571.84567197 440.73952526]
[465.66744258 167.05627477],[ 17.39410848 314.41671075]
[197.06279724 406.17036937],[361.90438312 486.47413691]
[141.98061748 206.79423813],[23.47852565 11.4791224 ]
[301.60840373 295.53928603],[942.52989277 330.13350001]
[309.3686203  287.05063343],[150.0606067 109.6576936]
[384.53780718 351.59421464],[197.80581218  17.14680958]
[309.52784541 181.71983836],[220.41042581 637.4929784 ]
[178.64400706  59.17104583],[740.76528046 818.36361879]
[318.73123486  67.69904165],[687.36362069 987.85515587]
[337.91137997 434.63648729],[173.06526733 927.1374037 ]
[143.83455962 181.55153316],[134.2355311  576.40807291]
[202.37855201 333.03104296],[ 66.04375464 870.11907576]
[163.66474838 236.94585329],[393.60693926 264.53400615]
[197.69123674 224.87230756],[901.32388283 456.00733853]
[379.12747284 153.57951468],[697.6639888 864.3174993]
[257.17597742 277.16062962],[799.74219816 627.45890073]
[335.86671739 123.5926321 ],[813.00096623 227.33123511]
[361.4870285  293.47769867],[521.03793179 257.81185664]
[837.42727658 257.16521003],[468.13188663 250.07215466]
[586.09483733 185.26973687],[302.10049668 887.47912765]
[831.77695663 253.6794754 ],[ 67.51399588 885.85285513]
[745.12974576 429.15310966],[863.28448436 831.16448375]
[970.18563138 246.29330956],[389.95216451 149.74950101]
[943.29054285  50.64284687],[ 66.46643154 494.28269631]
[545.09427395 336.70552083],[ 36.88490469 286.00325996]
[723.80389268 307.89711071],[479.94290523 725.72231401]
[801.65523855 241.05963595],[101.98350971 712.86841185]
[818.21297105 265.07220092],[ 10.90554967 689.07803975]
[596.78574777 271.88685774],[597.37510985  99.54480659]
[768.56632544 433.27765368],[906.30385814 703.66519713]
[637.11055987 251.69968808],[567.73925566 379.17397798]
[707.55711751 236.70901009],[567.75674065 145.38974999]
[915.92046177 287.86406842],[ 22.29399473 234.8209694 ]
[703.54339375 265.3841245 ],[552.42807178 171.67139714]
[826.61606204 150.59723068],[  0.32087158 310.5795335 ]
[723.56576712 404.22092203],[189.84672473 756.26154182]
[835.61520457 245.5197383 ],[332.57569295 600.31770043]
[702.2510771  234.59344756],[496.84018709 704.00038332]
[594.89205388 344.30359811],[ 50.55583623 839.78883977]
[784.11534385 263.82732173],[322.46733858 918.60517383]
[620.25773825 178.50375558],[109.1051172  928.60630358]
[801.44796333 275.77163811],[913.93852893 354.90812352]
[700.32695227 300.50219168],[757.02743146 678.9992269 ]
[843.87831252 182.49797253],[441.76126313 896.06456343]
[696.91417599 163.01380565],[928.46737762 417.22099324]
[634.47357752 329.66718469],[419.93569415 563.04124173]
[801.00280218 283.87139365],[247.25149602 381.56180911]
[632.78799655 145.40323453],[ 95.44538294 719.69251054]
[743.23314357 208.67902466],[272.17157133 197.13213651]
[762.00827996 180.10283137],[538.1436854  130.71276336]
[815.40248821 429.94800741],[409.75673017  11.8842542 ]
[904.66060951 410.98739849],[164.96631577 864.14379385]
[757.10197803 342.15752314],[415.18702949 152.93355628]
[712.31701574 341.99825431],[946.83418921 814.40930044]
[712.15774457 201.10245648],[616.77103467  88.19124654]
[685.5606183  319.91408369],[ 87.25775624 184.20156611]
[777.54066575 268.63253407],[ 31.56949182 614.37086122]
[636.01943478 264.18048905],[818.46521241  64.07836996]
[605.92806464 397.65128242],[458.15413078 664.48116386]
[736.84465167 269.44292017],[280.63465954 136.07517372]
[739.48507468  91.60374209],[989.37667581 748.98434158]
[612.82263144 247.16816618],[258.28099925 471.48650692]
[899.24714994 138.47627839],[300.54838921  85.86146964]
[679.45859741 245.27674255],[ 30.79824992 654.0536455 ]
[581.27193925  80.26578848],[886.31467678 351.87733651]
[708.85460577 245.47248569],[387.4305785   34.95227127]
[710.88268673 403.42223499],[860.50839719 400.81030692]
[733.58070527 286.03666532],[383.16591089 780.90403207]
[909.80499008 920.37218231],[573.27523112 171.03918878]
[591.04801059 712.27534831],[ 99.06437963 780.6152745 ]
[866.25055096 612.11412927],[909.83542522 905.27581986]
[657.60043202 620.24866101],[104.06379381  23.84611801]
[613.80657721 636.58146299],[663.67247512 243.20602369]
[767.68427518 876.89255155],[771.80502202 920.13630627]
[902.8022877  751.18879834],[285.36627793 688.55817991]
[552.94281134 744.33674148],[612.69626341 635.59377713]
[716.07975849 785.23211225],[14.92311778 74.02538306]
[737.15868878 570.38869043],[825.84915718 898.93822998]
[791.3283446  543.21645633],[ 65.37504893 182.98791308]
[680.98887857 781.17507136],[145.40673751 306.10437048]
[785.03665669 907.1348006 ],[442.55205772 260.51329352]
[513.75864069 783.9984209 ],[970.3678081  813.49610174]
[818.93803455 717.27858633],[730.87984418 272.21834618]
[813.80315244 639.80013691],[749.42753191 816.30384969]
[815.70275801 803.82152468],[558.77366338 684.33753002]
